problem	agents	FF-h0/totalTimeM	FF-h0/totalTimeV	FF-h0/expandedStatesM	FF-h0/expandedStatesV	FF-h0/totalBytesM	FF-h0/totalBytesV	FF-h0/planLengthM	FF-h0/planLengthV	PPsaFF-sync-h-1/totalTimeM	PPsaFF-sync-h-1/totalTimeV	PPsaFF-sync-h-1/expandedStatesM	PPsaFF-sync-h-1/expandedStatesV	PPsaFF-sync-h-1/totalBytesM	PPsaFF-sync-h-1/totalBytesV	PPsaFF-sync-h-1/planLengthM	PPsaFF-sync-h-1/planLengthV	PPsaFF-glcl-h-1/totalTimeM	PPsaFF-glcl-h-1/totalTimeV	PPsaFF-glcl-h-1/expandedStatesM	PPsaFF-glcl-h-1/expandedStatesV	PPsaFF-glcl-h-1/totalBytesM	PPsaFF-glcl-h-1/totalBytesV	PPsaFF-glcl-h-1/planLengthM	PPsaFF-glcl-h-1/planLengthV
benchmarks/openstacks/p27.pddl	 2.0	 607.0	256	  230.4	116.3	 146.2	74.7	298.0	16	137.3	--	  22.3	--	  36.3	--	305.0	--	230.9	105.8	  66.4	29.6	 54.3	27.3	285.0	4
benchmarks/rovers/p01.pddl	 1.0	   0.2	0	    0.0	0	   0.0	0	 12.0	0	  0.2	0.1	   0.0	0	   0.0	0	 12.0	0	  0.2	0	   0.0	0	  0.0	0	 12.0	0
benchmarks/rovers/p02.pddl	 1.0	   0.1	0	    0.0	0	   0.0	0	 11.0	0	  0.2	0	   0.0	0	   0.0	0	 11.0	0	  0.2	0	   0.0	0	  0.0	0	 11.0	0
benchmarks/rovers/p03.pddl	 2.0	   0.2	0	    0.1	0	   0.0	0	 17.0	2	  0.2	0	   0.1	0	   0.0	0	 15.0	1	  0.2	0	   0.1	0	  0.0	0	 15.0	1
benchmarks/rovers/p04.pddl	 2.0	   0.2	0	    0.0	0	   0.0	0	 10.0	1	  0.2	0	   0.0	0	   0.0	0	 11.0	0	  0.2	0	   0.0	0	  0.0	0	 11.0	0
benchmarks/rovers/p05.pddl	 2.0	   0.3	0	    0.1	0	   0.0	0	 25.0	3	  0.4	0	   0.1	0	   0.0	0	 24.0	0	  0.5	0	   0.4	0.1	  0.0	0	 24.0	2
benchmarks/rovers/p06.pddl	 2.0	   0.5	0.1	    1.6	1.1	   0.0	0	 43.0	4	  0.6	0	   0.2	0	   0.0	0	 41.0	1	  0.7	0	   0.5	0	  0.0	0	 42.0	3
benchmarks/rovers/p07.pddl	 3.0	   0.3	0	    0.4	0	   0.0	0	 27.0	4	  0.6	0	   0.3	0	   0.1	0	 25.0	3	  0.6	0	   1.0	0.2	  0.1	0	 25.0	4
benchmarks/rovers/p08.pddl	 4.0	   0.6	0	    0.5	0.1	   0.0	0	 39.0	4	  0.8	0	   0.8	0.2	   0.3	0.1	 42.0	4	  0.8	0	   1.0	0.2	  0.1	0	 36.0	4
benchmarks/rovers/p09.pddl	 4.0	   0.7	0	    0.8	0.2	   0.0	0	 44.0	7	  0.8	0	   0.9	0.3	   0.3	0.1	 42.0	6	  0.9	0	   2.2	0.8	  0.2	0.1	 39.0	4
benchmarks/rovers/p10.pddl	 4.0	   0.7	0	    0.7	0.1	   0.0	0	 47.0	3	  0.9	0	   0.9	0.1	   0.3	0.1	 46.0	3	  0.8	0	   1.3	0.2	  0.1	0	 48.0	2
benchmarks/rovers/p11.pddl	 4.0	   0.7	0	    0.7	0.1	   0.0	0	 45.0	3	  0.9	0	   0.6	0.2	   0.1	0	 43.0	5	  0.8	0	   2.2	0.9	  0.2	0.1	 41.0	2
benchmarks/rovers/p12.pddl	 4.0	   0.6	0	    0.4	0.1	   0.0	0	 28.0	4	  0.7	0	   0.5	0.1	   0.1	0	 29.0	3	  0.7	0	   0.6	0.2	  0.0	0	 32.0	4
benchmarks/rovers/p13.pddl	 4.0	   0.9	0	    1.5	0.2	   0.0	0	 61.0	4	  1.1	0	   1.3	0.2	   0.6	0.1	 57.0	5	  1.2	0.1	   3.5	1.9	  0.5	0.3	 59.0	6
benchmarks/rovers/p14.pddl	 4.0	   0.8	0	    1.5	0.5	   0.0	0	 56.0	8	  1.0	0	   1.0	0.4	   0.3	0.1	 43.0	5	  1.0	0.1	   6.7	3	  0.3	0.1	 40.0	7
benchmarks/rovers/p15.pddl	 4.0	   1.0	0	    1.2	0.5	   0.0	0	 58.0	6	  1.3	0	   1.3	0.4	   0.6	0.2	 59.0	6	  1.1	0.1	   3.1	2.2	  0.3	0.2	 54.0	5
benchmarks/rovers/p16.pddl	 4.0	   0.9	0	    1.6	0.3	   0.0	0	 65.0	4	  1.2	0.1	   1.7	0.5	   0.7	0.1	 64.0	6	  1.1	0	   3.3	1.1	  0.4	0.1	 57.0	3
benchmarks/rovers/p17.pddl	 6.0	   1.6	0	    3.6	0.6	   0.0	0	 74.0	7	  2.0	0.1	   2.8	0.6	   2.0	0.5	 68.0	8	  1.8	0.1	   7.2	3.7	  0.7	0.4	 81.0	4
benchmarks/rovers/p18.pddl	 6.0	   2.8	0.1	   14.1	5.2	   0.2	0.1	 85.0	9	  3.3	0.2	   6.7	2.6	   5.0	1	 79.0	16	  3.2	0.2	  19.8	9.2	  3.2	1.6	 74.0	6
benchmarks/rovers/p19.pddl	 6.0	   4.3	0.1	   10.9	3.7	   0.1	0	130.0	15	  5.3	0.2	   9.8	2.6	   8.7	1.8	106.0	10	  5.7	0.5	  47.1	17.5	  7.5	2.7	112.0	11
benchmarks/rovers/p20.pddl	 8.0	   6.6	0.1	    8.4	2.3	   0.1	0	130.0	9	  7.8	0.3	   9.1	3.5	  11.7	2.9	122.0	12	  7.1	0.2	  12.5	3.4	  2.1	1	129.0	11
benchmarks/satellites/p01-pfile1.pddl	 1.0	   0.2	0	    0.0	0	   0.0	0	 10.0	0	  0.2	0.2	   0.0	0	   0.0	0	 10.0	0	  0.2	0.2	   0.0	0	  0.0	0	 10.0	0
benchmarks/satellites/p02-pfile2.pddl	 1.0	   0.2	0	    0.1	0	   0.0	0	 30.0	0	  0.2	0	   0.1	0	   0.0	0	 30.0	0	  0.2	0	   0.1	0	  0.0	0	 30.0	0
benchmarks/satellites/p03-pfile3.pddl	 2.0	   0.4	0	    0.6	0.1	   0.0	0	 29.0	6	  0.4	0	   0.2	0	   0.0	0	 14.0	0	  0.4	0	   0.4	0	  0.0	0	 15.0	1
benchmarks/satellites/p04-pfile4.pddl	 2.0	   0.4	0	    0.3	0	   0.0	0	 26.0	2	  0.7	0	   0.4	0	   0.1	0	 27.0	1	  0.7	0	   1.0	0.1	  0.1	0	 26.0	5
benchmarks/satellites/p05-pfile5.pddl	 3.0	   0.8	0	    1.2	0.4	   0.1	0	 42.0	16	  1.0	0.1	   1.3	0.5	   0.4	0.1	 43.0	17	  0.8	0	   1.6	0.6	  0.2	0.1	 25.0	4
benchmarks/satellites/p06-pfile6.pddl	 3.0	   0.7	0	    0.5	0.1	   0.0	0	 25.0	2	  0.8	0	   0.5	0.1	   0.1	0	 24.0	2	  0.8	0	   1.3	0.2	  0.1	0	 27.0	4
benchmarks/satellites/p07-pfile7.pddl	 4.0	   0.9	0	    1.4	0.3	   0.1	0	 40.0	15	  1.2	0.1	   2.0	0.6	   0.7	0.2	 46.0	10	  1.0	0	   2.1	0.7	  0.2	0.1	 32.0	5
benchmarks/satellites/p08-pfile8.pddl	 4.0	   1.2	0.1	    1.8	0.3	   0.0	0	 69.0	20	  1.5	0.1	   2.0	0.4	   0.9	0.2	 46.0	7	  1.3	0	   2.7	0.6	  0.4	0.1	 36.0	5
benchmarks/satellites/p09-pfile9.pddl	 5.0	   1.6	0.1	    4.2	1.2	   0.3	0.1	 63.0	15	  2.3	0.2	   8.9	3.8	   6.2	3	 88.0	26	  1.7	0	   4.6	1.3	  0.6	0.2	 61.0	22
benchmarks/satellites/p10-pfile10.pddl	 5.0	   1.9	0.1	    3.1	0.6	   0.1	0	 65.0	18	  2.6	0.2	   5.6	2	   3.4	1.5	 76.0	17	  2.1	0	   4.3	0.8	  0.8	0.2	 56.0	19
benchmarks/satellites/p11-pfile11.pddl	 5.0	   3.0	0.1	    7.1	2.2	   0.5	0.2	100.0	43	  4.9	1.2	  35.3	28.6	  20.4	15.3	119.0	34	  3.1	0.1	   7.3	1.4	  1.0	0.3	 58.0	11
benchmarks/satellites/p12-pfile12.pddl	 5.0	   4.7	0.2	    5.3	0.8	   0.0	0	 81.0	19	  5.6	0.2	   8.5	2.6	   5.9	2	 73.0	12	  5.1	0.1	   9.9	1.6	  2.2	0.5	 61.0	9
benchmarks/satellites/p13-pfile13.pddl	 5.0	   9.5	0.5	   39.0	17.3	   4.7	2.3	 94.0	17	 11.6	0.8	  37.3	9.5	  32.4	10.4	184.0	32	 10.0	0.5	  54.4	19.8	  8.2	2.7	102.0	13
benchmarks/satellites/p14-pfile14.pddl	 6.0	   6.4	0.2	    6.6	0.9	   0.7	0.1	 76.0	16	  8.3	0.6	  27.2	11.1	  26.0	9.8	117.0	27	  6.3	0.1	   6.1	0.5	  0.7	0.1	 65.0	6
benchmarks/satellites/p15-pfile15.pddl	11.0	  11.0	0.2	   22.8	4	   4.4	0.8	111.0	21	 16.0	3.8	  70.5	44.3	 115.2	68.4	175.0	56	 11.1	0.1	  21.1	2.8	  4.1	0.6	125.0	41
benchmarks/satellites/p16-pfile16.pddl	10.0	  16.1	0.7	   18.0	3.4	   2.3	0.6	101.0	49	 17.5	0.5	  24.7	5.7	  49.9	13	101.0	14	 15.9	0.2	  17.2	2.2	  2.3	0.4	 81.0	22
