domain,problem,heuristic,recursionLevel,searchTimeM,planLengthM,expandedStatesM,expandedStatesGlobalM,expandedStatesLocalM,searchMessagesM,heuristicRequestMessagesM,heuristicReplyMessagesM,totalMessagesM,globalSearchTimeM,localSearchTimeM,globalHeuristicTimeM,localHeuristicTimeM,otherHeuristicTimeM
benchmarks/driverlog,benchmarks/driverlog/pfile6.pddl,FF, 0,    402.0, 17.5,    262.4,     0.0,      0.0,    127.4,      0.0,      0.0,     127.4,    10.80,    0.0,    546.2,      0.0,     0.8
benchmarks/driverlog,benchmarks/driverlog/pfile6.pddl,PPsaFF-glcl,-1,    189.0, 15.9,    259.2,    34.2,    225.2,    124.6,    153.0,    152.7,     430.3,     1.30,   10.0,     35.7,    155.7,     1.0
benchmarks/driverlog,benchmarks/driverlog/pfile6.pddl,PPsaFF-sync,-1,    274.1, 14.0,    113.0,     0.0,      0.0,     51.0,    463.5,    463.9,     978.4,    36.30,    0.0,    107.8,      0.0,    18.0
benchmarks/driverlog,benchmarks/driverlog/pfile7.pddl,FF, 0,    415.6, 27.5,    687.8,     0.0,      0.0,    347.1,      0.0,      0.0,     347.1,    23.30,    0.0,    645.2,      0.0,     2.1
benchmarks/driverlog,benchmarks/driverlog/pfile7.pddl,PPsaFF-glcl,-1,    189.3, 29.0,    587.7,    83.7,    504.3,    275.7,    333.4,    333.1,     942.2,     2.50,   17.8,     45.1,    203.7,     3.2
benchmarks/driverlog,benchmarks/driverlog/pfile7.pddl,PPsaFF-sync,-1,   1135.9, 52.7,   3439.9,     0.0,      0.0,   1819.3,  12621.8,  12622.6,   27063.7,   227.90,    0.0,    716.4,      0.0,   138.0
benchmarks/driverlog,benchmarks/driverlog/pfile8.pddl,FF, 0,    338.2, 38.5,    592.2,     0.0,      0.0,    275.3,      0.0,      0.0,     275.3,    19.20,    0.0,    456.5,      0.0,     1.7
benchmarks/driverlog,benchmarks/driverlog/pfile8.pddl,PPsaFF-glcl,-1,    147.8, 31.4,    559.4,    79.5,    479.9,    288.7,    279.3,    277.4,     845.4,     3.20,   17.6,     47.1,    205.5,     3.3
benchmarks/driverlog,benchmarks/driverlog/pfile8.pddl,PPsaFF-sync,-1,   1611.3, 67.8,   3520.8,     0.0,      0.0,   1743.5,  12142.2,  12142.9,   26028.6,   235.50,    0.0,    763.2,      0.0,   133.3
benchmarks/driverlog,benchmarks/driverlog/pfile9.pddl,FF, 0,    485.6, 41.9,    902.0,     0.0,      0.0,    500.7,      0.0,      0.0,     500.7,    26.20,    0.0,    515.3,      0.0,     3.5
benchmarks/driverlog,benchmarks/driverlog/pfile9.pddl,PPsaFF-glcl,-1,    336.4, 33.0,   1414.3,   551.2,    863.2,    776.2,   1423.6,   1423.5,    3623.3,    11.00,   18.1,     90.9,    161.0,     4.5
benchmarks/driverlog,benchmarks/driverlog/pfile9.pddl,PPsaFF-sync,-1,   1489.4, 62.3,   3453.0,     0.0,      0.0,   2008.2,   7007.3,   7007.5,   16023.0,   145.00,    0.0,    547.5,      0.0,    88.7
benchmarks/elevators08,benchmarks/elevators08/p01.pddl,FF, 0,    256.4, 26.4,    406.2,     0.0,      0.0,     71.8,      0.0,      0.0,      71.8,    20.60,    0.0,    296.3,      0.0,     2.9
benchmarks/elevators08,benchmarks/elevators08/p01.pddl,PPsaFF-glcl,-1,    141.3, 24.6,    331.3,    25.1,    306.3,     56.3,    269.6,    265.9,     591.8,     0.90,   17.2,     31.5,    157.6,     2.7
benchmarks/elevators08,benchmarks/elevators08/p01.pddl,PPsaFF-sync,-1,    568.6, 29.0,    561.6,     0.0,      0.0,    132.3,   2593.0,   2593.1,    5318.4,    83.80,    0.0,    236.2,      0.0,    85.6
benchmarks/elevators08,benchmarks/elevators08/p02.pddl,FF, 0,    749.2, 50.9,   4469.6,     0.0,      0.0,    846.4,      0.0,      0.0,     846.4,    77.40,    0.0,    731.7,      0.0,    13.5
benchmarks/elevators08,benchmarks/elevators08/p02.pddl,PPsaFF-glcl,-1,    644.8, 34.2,   3769.1,   378.5,   3391.7,    747.7,   2255.1,   2254.8,    5257.6,     6.40,   72.8,     79.0,    459.8,    12.8
benchmarks/elevators08,benchmarks/elevators08/p02.pddl,PPsaFF-sync,-1,    767.1, 41.1,    913.5,     0.0,      0.0,    211.4,   3586.8,   3586.5,    7384.7,   111.10,    0.0,    324.9,      0.0,   104.2
benchmarks/elevators08,benchmarks/elevators08/p03.pddl,FF, 0,   1270.0, 38.0,   2695.8,     0.0,      0.0,    745.6,      0.0,      0.0,     745.6,    91.30,    0.0,   1023.3,      0.0,    10.7
benchmarks/elevators08,benchmarks/elevators08/p03.pddl,PPsaFF-glcl,-1,   1461.2, 31.7,   3837.8,   563.9,   3275.5,   1094.5,   2248.6,   2248.8,    5591.9,     9.30,   83.4,    178.8,   1002.2,    15.0
benchmarks/elevators08,benchmarks/elevators08/p03.pddl,PPsaFF-sync,-1,   1120.3, 39.5,   1930.1,     0.0,      0.0,    644.8,   6062.5,   6062.7,   12770.0,   248.20,    0.0,    707.1,      0.0,   181.6
benchmarks/elevators08,benchmarks/elevators08/p04.pddl,FF, 0,   2168.9, 63.7,  11494.5,     0.0,      0.0,   2806.2,      0.0,      0.0,    2806.2,   160.10,    0.0,   1830.3,      0.0,    23.6
benchmarks/elevators08,benchmarks/elevators08/p04.pddl,PPsaFF-glcl,-1,   2031.7, 46.8,   7896.0,   538.9,   7358.3,   2055.9,   4133.4,   4132.7,   10322.0,     6.70,  128.3,    152.4,   1389.8,    23.8
benchmarks/elevators08,benchmarks/elevators08/p04.pddl,PPsaFF-sync,-1,   1292.2, 49.2,   1031.1,     0.0,      0.0,    328.7,   5614.3,   5615.1,   11558.1,   132.00,    0.0,    526.9,      0.0,   202.2
benchmarks/elevators08,benchmarks/elevators08/p05.pddl,FF, 0,   1147.3, 48.4,   3590.3,     0.0,      0.0,   1030.9,      0.0,      0.0,    1030.9,    83.90,    0.0,   1122.2,      0.0,     9.7
benchmarks/elevators08,benchmarks/elevators08/p05.pddl,PPsaFF-glcl,-1,   1454.9, 39.1,   4231.8,   438.1,   3795.3,   1237.4,   2103.3,   2103.4,    5444.1,     6.30,   85.7,    148.1,   1128.3,    18.0
benchmarks/elevators08,benchmarks/elevators08/p05.pddl,PPsaFF-sync,-1,   6687.8, 78.3,  32797.8,     0.0,      0.0,  11096.8,  91509.7,  91505.1,  194111.6,  1581.60,    0.0,   3762.8,      0.0,  1102.9
benchmarks/elevators08,benchmarks/elevators08/p06.pddl,FF, 0,   1868.1, 61.8,   4069.0,     0.0,      0.0,   1006.7,      0.0,      0.0,    1006.7,   111.20,    0.0,   1503.2,      0.0,    14.1
benchmarks/elevators08,benchmarks/elevators08/p06.pddl,PPsaFF-glcl,-1,   2033.0, 57.4,   4553.9,   260.4,   4294.7,   1247.3,   2761.0,   2760.2,    6768.5,     4.70,   94.0,    128.7,   1374.9,    17.7
