domain,problem,heuristic,recursionLevel,totalTimeM,planLengthM,expandedStatesM
benchmarks/driverlog,benchmarks/driverlog/pfile1.pddl,FF, 0,    250.0,         7.7,      28.7
benchmarks/driverlog,benchmarks/driverlog/pfile1.pddl,PPsaFF-glcl,-1,    283.4,         7.7,      47.6
benchmarks/driverlog,benchmarks/driverlog/pfile1.pddl,PPsaFF-sync,-1,    280.8,         8.0,      25.6
benchmarks/driverlog,benchmarks/driverlog/pfile2.pddl,FF, 0,    389.1,        33.1,     531.4
benchmarks/driverlog,benchmarks/driverlog/pfile2.pddl,PPsaFF-glcl,-1,    627.3,        21.8,     536.4
benchmarks/driverlog,benchmarks/driverlog/pfile2.pddl,PPsaFF-sync,-1,    707.9,        44.3,     362.3
benchmarks/driverlog,benchmarks/driverlog/pfile3.pddl,FF, 0,    328.7,        14.2,     105.4
benchmarks/driverlog,benchmarks/driverlog/pfile3.pddl,PPsaFF-glcl,-1,    462.0,        14.5,     219.8
benchmarks/driverlog,benchmarks/driverlog/pfile3.pddl,PPsaFF-sync,-1,    727.7,        35.2,     419.3
benchmarks/driverlog,benchmarks/driverlog/pfile4.pddl,FF, 0,    658.6,        25.3,    1307.3
benchmarks/driverlog,benchmarks/driverlog/pfile4.pddl,PPsaFF-glcl,-1,    777.7,        25.9,    1766.6
benchmarks/driverlog,benchmarks/driverlog/pfile4.pddl,PPsaFF-sync,-1,    925.3,        35.4,    1047.7
benchmarks/driverlog,benchmarks/driverlog/pfile5.pddl,FF, 0,    566.1,        24.6,     210.6
benchmarks/driverlog,benchmarks/driverlog/pfile5.pddl,PPsaFF-glcl,-1,    700.2,        25.7,     337.3
benchmarks/driverlog,benchmarks/driverlog/pfile5.pddl,PPsaFF-sync,-1,   1072.0,        36.2,    1551.0
benchmarks/driverlog,benchmarks/driverlog/pfile6.pddl,FF, 0,    718.3,        17.9,     236.6
benchmarks/driverlog,benchmarks/driverlog/pfile6.pddl,PPsaFF-glcl,-1,    744.8,        16.8,     235.1
benchmarks/driverlog,benchmarks/driverlog/pfile6.pddl,PPsaFF-sync,-1,    786.8,        14.0,     130.8
benchmarks/driverlog,benchmarks/driverlog/pfile7.pddl,FF, 0,    855.0,        30.5,     952.5
benchmarks/driverlog,benchmarks/driverlog/pfile7.pddl,PPsaFF-glcl,-1,    909.2,        28.3,    1041.6
benchmarks/driverlog,benchmarks/driverlog/pfile7.pddl,PPsaFF-sync,-1,   1692.3,        55.3,    4322.6
benchmarks/driverlog,benchmarks/driverlog/pfile8.pddl,FF, 0,    879.6,        37.2,     531.5
benchmarks/driverlog,benchmarks/driverlog/pfile8.pddl,PPsaFF-glcl,-1,    955.3,        35.4,     650.2
benchmarks/driverlog,benchmarks/driverlog/pfile8.pddl,PPsaFF-sync,-1,   1709.6,        64.0,    3838.1
benchmarks/driverlog,benchmarks/driverlog/pfile9.pddl,FF, 0,    952.2,        38.9,    1023.6
benchmarks/driverlog,benchmarks/driverlog/pfile9.pddl,PPsaFF-glcl,-1,   1106.6,        37.2,    1870.5
benchmarks/driverlog,benchmarks/driverlog/pfile9.pddl,PPsaFF-sync,-1,   1124.2,        42.0,     602.5
benchmarks/elevators08,benchmarks/elevators08/p01.pddl,FF, 0,    878.5,        32.2,     545.2
benchmarks/elevators08,benchmarks/elevators08/p01.pddl,PPsaFF-glcl,-1,    952.3,        23.8,     460.9
benchmarks/elevators08,benchmarks/elevators08/p01.pddl,PPsaFF-sync,-1,   1086.3,        30.2,     511.9
benchmarks/elevators08,benchmarks/elevators08/p02.pddl,FF, 0,   1076.3,        47.9,    4572.8
benchmarks/elevators08,benchmarks/elevators08/p02.pddl,PPsaFF-glcl,-1,   1160.7,        39.7,    4533.4
benchmarks/elevators08,benchmarks/elevators08/p02.pddl,PPsaFF-sync,-1,   1315.5,        43.4,    1636.4
