domain,problem,heuristic,recursionLevel,searchTimeM,planLengthM,expandedStatesM,expandedStatesGlobalM,expandedStatesLocalM,searchMessagesM,heuristicRequestMessagesM,heuristicReplyMessagesM,totalMessagesM,globalSearchTimeM,localSearchTimeM,globalHeuristicTimeM,localHeuristicTimeM,otherHeuristicTimeM,domainShort,problemShort,ratioLE,ratioGE,ratioGL,ratioLG,heurTimePerStateL,heurTimePerStateG,heurTimePerStateGO,heurRatio,plotchar,color
benchmarks/openstacks,benchmarks/openstacks/p21.pddl,PPsaFF-glcl,-1, 133919.3,186.8, 123425.2, 66981.5,  56445.0, 113190.0,  20543.5,  20544.8, 154278.3, 469.83,  870.8,114842.8, 111424.5,  168.3,openstacks,openstacks/p21.pddl,0.46,0.542689,1.186668,    0.84, 1.974, 1.715, 1.717,  0.87, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p22.pddl,PPsaFF-glcl,-1,  50206.2,223.8,  21883.5,  3977.0,  17907.5,  18946.2,   3966.2,   3967.2,  26879.5,  43.33,  212.5, 10377.2,  75025.2,   28.7,openstacks,openstacks/p22.pddl,0.82,0.181735,0.222086,    4.50, 4.190, 2.609, 2.617,  0.62, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p23.pddl,PPsaFF-glcl,-1,  35730.7,225.3,  13428.0,  1680.0,  11748.0,  10915.7,   1679.0,   1680.0,  14274.7,  18.67,  152.3,  5371.7,  58733.0,   22.3,openstacks,openstacks/p23.pddl,0.87,0.125112,0.143003,    6.99, 4.999, 3.197, 3.211,  0.64, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p24.pddl,PPsaFF-glcl,-1, 102679.5,217.8,  41519.2, 12960.0,  28559.2,  33976.2,  12959.2,  12960.2,  59895.8, 118.00,  368.5, 31042.0, 128086.2,   57.0,openstacks,openstacks/p24.pddl,0.69,0.312145,0.453794,    2.20, 4.485, 2.395, 2.400,  0.54, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p25.pddl,PPsaFF-glcl,-1, 578619.0,318.0, 152162.0, 30013.0, 122149.0, 142294.0,  30014.0,  30014.0, 202322.0, 324.00, 1443.0,130609.0, 819413.0,  257.0,openstacks,openstacks/p25.pddl,0.80,0.197244,0.245708,    4.07, 6.708, 4.352, 4.360,  0.65, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p26.pddl,PPsaFF-glcl,-1, 852566.7,292.7, 206814.3, 33279.3, 173536.0, 186367.7,  33278.3,  33279.3, 252925.3, 426.00, 2247.3,152927.3,1293731.3,  263.3,openstacks,openstacks/p26.pddl,0.84,0.160914,0.191772,    5.21, 7.455, 4.595, 4.603,  0.62, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p27.pddl,PPsaFF-glcl,-1, 253149.0,283.0,  69932.0,  6877.0,  63055.0,  61098.0,   6876.0,   6877.0,  74851.0,  86.00,  762.0, 30987.0, 423974.0,   66.0,openstacks,openstacks/p27.pddl,0.90,0.098338,0.109064,    9.17, 6.724, 4.506, 4.515,  0.67, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p28.pddl,PPsaFF-glcl,-1,1077254.0,391.0, 129966.0, 14811.0, 115155.0, 122817.0,  14811.0,  14811.0, 152439.0, 199.00, 1742.0,130577.0,1791771.0,  182.0,openstacks,openstacks/p28.pddl,0.89,0.113961,0.128618,    7.77,15.560, 8.816, 8.829,  0.57, 6.0,lightblue
benchmarks/rovers,benchmarks/rovers/p03.pddl,PPsaFF-glcl,-1,     42.4, 13.9,    139.2,    64.4,     74.8,     24.6,     43.8,     43.9,    112.3,   4.20,    4.2,    24.8,     20.4,    1.0,rovers,rovers/p03.pddl,0.54,0.462644,0.860963,    1.16, 0.273, 0.385, 0.401,  1.47, 7.0,black
benchmarks/rovers,benchmarks/rovers/p04.pddl,PPsaFF-glcl,-1,     32.0,  8.0,     73.1,    32.7,     40.4,     12.9,     31.7,     31.7,     76.3,   1.10,    4.0,    15.1,     15.8,    2.0,rovers,rovers/p04.pddl,0.55,0.447332,0.809406,    1.24, 0.391, 0.462, 0.523,  1.34, 7.0,black
